category,taxonomyRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,researchTrend,methodTags,keyIdea,strengths,limitations,paperLink,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy
Motor Imagery and Movement Decoding,343,2017,Brain-Computer Interface for Clinical Purposes: Cognitive Assessment and Rehabilitation,"Laura Carelli, F. Solca, A. Faini, P. Meriggi, D. Sangalli, P. Cipresso, et al.",BioMed Research International,2017-08-23,112,4,143.972,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",clinical/rehab; communication; closed-loop,"Alongside the best-known applications of brain-computer interface (BCI) technology for restoring communication abilities and controlling external devices, we present the state of the art of BCI use for cognitive assessment and training purposes.",high citation signal (112); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1155/2017/1695290,https://www.semanticscholar.org/paper/87dafb3bd8c0342670668502540e46a07fc24cbc,http://downloads.hindawi.com/journals/bmri/2017/1695290.pdf,10.1155/2017/1695290,,28913349,Computer Science; Medicine; Psychology
Motor Imagery and Movement Decoding,344,2016,Structural and functional correlates of motor imagery BCI performance: Insights from the patterns of fronto-parietal attention network,"Tao Zhang, Tiejun Liu, Fali Li, Mengchen Li, Dongbo Liu, Rui Zhang, et al.",NeuroImage,2016-07-01,112,3,146.956,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",BCI method,Positions Structural and functional correlates of motor imagery BCI performance: Insights from the patterns of fronto-parietal attention network within Motor Imagery and Movement Decoding.,high citation signal (112); recognized venue,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.neuroimage.2016.04.030,https://www.semanticscholar.org/paper/4c1cc37d579a0806bcb71cfb65292051ca5b0fec,,10.1016/j.neuroimage.2016.04.030,,27103137,Computer Science; Medicine; Psychology
Motor Imagery and Movement Decoding,345,2014,Brain-machine interfaces: an overview,M. Lebedev,,2014-03-28,112,3,143.456,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",clinical/rehab; invasive,"Brain-machine interfaces (BMIs) hold promise to treat neurological disabilities by linking intact brain circuitry to assistive devices, such as limb prostheses, wheelchairs, artificial sensors, and computers.",high citation signal (112); open-access PDF metadata,venue missing in metadata,https://doi.org/10.2478/s13380-014-0212-z,https://www.semanticscholar.org/paper/89e36568b4589398dba5e7ff6f0f39362ff8e97e,https://www.degruyter.com/document/doi/10.2478/s13380-014-0212-z/pdf,10.2478/s13380-014-0212-z,,,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,346,2023,"Deep Learning in EEG-Based BCIs: A Comprehensive Review of Transformer Models, Advantages, Challenges, and Applications","B. Abibullaev, Aigerim Keutayeva, A. Zollanvari",IEEE Access,,112,2,140.278,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",review; deep learning; communication,Brain-computer interfaces (BCIs) have undergone significant advancements in recent years.,high citation signal (112); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/ACCESS.2023.3329678,https://www.semanticscholar.org/paper/472e54b28ed5d58eb704c50fff7c15432edad8b8,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10305163.pdf,10.1109/ACCESS.2023.3329678,,,Computer Science; Medicine
Motor Imagery and Movement Decoding,347,2016,Organizing motor imageries.,T. Hanakawa,Neurosciences research,2016-03-01,111,12,168.976,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",clinical/rehab,"Over the last few decades, motor imagery has attracted the attention of researchers as a prototypical example of 'embodied cognition' and also as a basis for neuro-rehabilitation and brain-machine interfaces.",high citation signal (111); influential citation signal (12); recognized venue,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1016/j.neures.2015.11.003,https://www.semanticscholar.org/paper/08c423011ec6e2be78cf88a10a3e9a6c9496a16e,https://doi.org/10.1016/j.neures.2015.11.003,10.1016/j.neures.2015.11.003,,26602980,Medicine; Psychology
Motor Imagery and Movement Decoding,348,2016,A Deep Learning Approach for Motor Imagery EEG Signal Classification,"Shiu Kumar, Alok Sharma, Kabir Mamun, T. Tsunoda",2016 3rd Asia-Pacific World Congress on Computer Science and Engineering (APWC on CSE),2016-12-01,111,7,159.737,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",deep learning,Positions A Deep Learning Approach for Motor Imagery EEG Signal Classification within Motor Imagery and Movement Decoding.,high citation signal (111); recognized venue,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/APWC-ON-CSE.2016.017,https://www.semanticscholar.org/paper/c34d5556ea817c511f3d2e929ca573c1713afb2d,,10.1109/APWC-ON-CSE.2016.017,,,Computer Science; Medicine
Motor Imagery and Movement Decoding,349,2019,Brain wave classification using long short-term memory network based OPTICAL predictor,"Shiu Kumar, Alok Sharma, T. Tsunoda",Scientific Reports,2019-06-24,111,7,151.737,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",dataset/benchmark,Brain-computer interface (BCI) systems having the ability to classify brain waves with greater accuracy are highly desirable.,high citation signal (111); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1038/s41598-019-45605-1,https://www.semanticscholar.org/paper/a098fd7ba5b0be285640e5af8ccd2c871f25eaec,https://www.nature.com/articles/s41598-019-45605-1.pdf,10.1038/s41598-019-45605-1,,31235800,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,350,2014,Efficacy of brain-computer interface-driven neuromuscular electrical stimulation for chronic paresis after stroke.,"Masahiko Mukaino, T. Ono, K. Shindo, T. Fujiwara, T. Ota, A. Kimura, et al.",Journal of Rehabilitation Medicine,,111,7,150.737,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",clinical/rehab,OBJECTIVE Brain computer interface technology is of great interest to researchers as a potential therapeutic measure for people with severe neurological disorders.,high citation signal (111); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.2340/16501977-1785,https://www.semanticscholar.org/paper/06cf1d952bdde4d43762964f042e7e033aec1b83,https://doi.org/10.2340/16501977-1785,10.2340/16501977-1785,,24590225,Medicine
Motor Imagery and Movement Decoding,351,2019,An EEG/EMG/EOG-Based Multimodal Human-Machine Interface to Real-Time Control of a Soft Robot Hand,"Jinhua Zhang, Baozeng Wang, Cheng Zhang, Yanqing Xiao, M. Y. Wang",Front. Neurorobot.,2019-03-29,111,4,143.277,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",clinical/rehab,Brain-computer interface (BCI) technology shows potential for application to motor rehabilitation therapies that use neural plasticity to restore motor function and improve quality of life of stroke survivors.,high citation signal (111); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnbot.2019.00007,https://www.semanticscholar.org/paper/38dfb20dce9618608c0069671b082580bc2a61db,https://www.frontiersin.org/articles/10.3389/fnbot.2019.00007/pdf,10.3389/fnbot.2019.00007,,30983986,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,352,2010,EEG-based motor imagery classification using neuro-fuzzy prediction and wavelet fractal features.,Wei-Yen Hsu,Journal of Neuroscience Methods,2010-06-15,111,2,138.082,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",BCI method,Positions EEG-based motor imagery classification using neuro-fuzzy prediction and wavelet fractal features. within Motor Imagery and Movement Decoding.,high citation signal (111); recognized venue,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.jneumeth.2010.03.030,https://www.semanticscholar.org/paper/ad4b5e80745bedc07ff789d64c902fb0a851d02e,,10.1016/j.jneumeth.2010.03.030,,20381529,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,353,2011,Large-scale EEG/MEG source localization with spatial flexibility,"S. Haufe, Ryota Tomioka, Thorsten Dickhaus, C. Sannelli, B. Blankertz, G. Nolte, et al.",NeuroImage,2011-01-01,110,6,154.136,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",BCI method,We propose a novel approach to solving the electro-/magnetoencephalographic (EEG/MEG) inverse problem which is based upon a decomposition of the current density into a small number of spatial basis fields.,high citation signal (110); recognized venue,PDF link not available from metadata,https://doi.org/10.1016/j.neuroimage.2010.09.003,https://www.semanticscholar.org/paper/4bfea82e351fd3da7973994cc6a48cd9ac03afab,,10.1016/j.neuroimage.2010.09.003,,20832477,Computer Science; Engineering; Mathematics; Medicine; Physics
Motor Imagery and Movement Decoding,354,2020,Recognizing Emotions Evoked by Music Using CNN-LSTM Networks on EEG Signals,"S. Sheykhivand, Zohreh Mousavi, T. Y. Rezaii, A. Farzamnia",IEEE Access,2020-07-27,110,5,149.861,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",clinical/rehab; invasive; deep learning,Emotion is considered to be critical for the actual interpretation of actions and relationships.,high citation signal (110); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/access.2020.3011882,https://www.semanticscholar.org/paper/0ec29ba5cf1511293066a3ccfc87776761fc9d6b,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09148598.pdf,10.1109/access.2020.3011882,,,Computer Science
Motor Imagery and Movement Decoding,355,2016,Decoding hand gestures from primary somatosensory cortex using high-density ECoG,"M. Branco, Z. Freudenburg, E. Aarnoutse, M. Bleichner, M. Vansteensel, N. Ramsey",NeuroImage,2016-12-05,110,4,151.58,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",invasive; communication,ABSTRACT Electrocorticography (ECoG) based Brain‐Computer Interfaces (BCIs) have been proposed as a way to restore and replace motor function or communication in severely paralyzed people.,high citation signal (110); recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1016/j.neuroimage.2016.12.004,https://www.semanticscholar.org/paper/9c9520ec9ddd29e2385e8886fcec5bcbd3539b87,https://europepmc.org/articles/pmc5322832?pdf=render,10.1016/j.neuroimage.2016.12.004,,27926827,Computer Science; Medicine; Psychology
Motor Imagery and Movement Decoding,356,2013,Using a motor imagery questionnaire to estimate the performance of a Brain-Computer Interface based on object oriented motor imagery.,"A. Vučković, B. Osuagwu",Clinical Neurophysiology,2013-08-01,109,10,154.573,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",BCI method,Positions Using a motor imagery questionnaire to estimate the performance of a Brain-Computer Interface based on object oriented motor imagery. within Motor Imagery and Movement Decoding.,high citation signal (109); influential citation signal (10); open-access PDF metadata,abstract unavailable in metadata,https://doi.org/10.1016/j.clinph.2013.02.016,https://www.semanticscholar.org/paper/ff9a558c0fca49c5e573ac9ad87142a6e5716029,https://eprints.gla.ac.uk/81528/1/81528.pdf,10.1016/j.clinph.2013.02.016,,23535455,Computer Science; Medicine; Psychology
Motor Imagery and Movement Decoding,357,2010,Biased feedback in brain-computer interfaces,"Álvaro Barbero, M. Grosse-Wentrup",Journal of NeuroEngineering and Rehabilitation,2010-07-27,109,10,152.573,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",BCI method,"Even though feedback is considered to play an important role in learning how to operate a brain-computer interface (BCI), to date no significant influence of feedback design on BCI-performance has been reported in literature.",high citation signal (109); influential citation signal (10); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1186/1743-0003-7-34,https://www.semanticscholar.org/paper/fe426aeaf70326aaca1c0644f853143c579a4945,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/1743-0003-7-34,10.1186/1743-0003-7-34,,20659350,Computer Science; Medicine; Psychology
Motor Imagery and Movement Decoding,358,2020,Data Augmentation for Motor Imagery Signal Classification Based on a Hybrid Neural Network,"Kai Zhang, Guanghua Xu, Zezhen Han, Kaiquan Ma, Xiaowei Zheng, Longting Chen, et al.",Italian National Conference on Sensors,2020-08-01,109,8,164.461,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",dataset/benchmark; clinical/rehab; deep learning,"As an important paradigm of spontaneous brain-computer interfaces (BCIs), motor imagery (MI) has been widely used in the fields of neurological rehabilitation and robot control.",high citation signal (109); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3390/s20164485,https://www.semanticscholar.org/paper/194d14b45d5e96c02573ac8b24991efef50d868f,https://www.mdpi.com/1424-8220/20/16/4485/pdf?version=1597140146,10.3390/s20164485,,32796607,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,359,2013,Daily training with realistic visual feedback improves reproducibility of event-related desynchronisation following hand motor imagery.,"T. Ono, A. Kimura, J. Ushiba",Clinical Neurophysiology,2013-09-01,109,8,147.461,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",BCI method,Positions Daily training with realistic visual feedback improves reproducibility of event-related desynchronisation following hand motor imagery. within Motor Imagery and Movement Decoding.,high citation signal (109),abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.clinph.2013.03.006,https://www.semanticscholar.org/paper/6e5706af919f3cf268dab2fceaa8622051ef9ca9,,10.1016/j.clinph.2013.03.006,,23643578,Medicine; Psychology
Motor Imagery and Movement Decoding,360,2022,Toward reliable signals decoding for electroencephalogram: A benchmark study to EEGNeX,"Xia Chen, Xiangbin Teng, Hannah S. Chen, Yafeng Pan, Philipp Geyer",Biomedical Signal Processing and Control,2022-07-15,109,4,148.38,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",review; dataset/benchmark,This study examines the efficacy of various neural network (NN) models in interpreting mental constructs via electroencephalogram (EEG) signals.,high citation signal (109),PDF link not available from metadata,https://doi.org/10.1016/j.bspc.2023.105475.,https://www.semanticscholar.org/paper/26f871951d1b0c284773283d2ac0485756308f42,,10.1016/j.bspc.2023.105475.,2207.12369,,Biology; Computer Science; Engineering
Motor Imagery and Movement Decoding,361,2021,NeuroGrasp: Real-Time EEG Classification of High-Level Motor Imagery Tasks Using a Dual-Stage Deep Learning Framework,"Jeong-Hyun Cho, Ji-Hoon Jeong, Seong-Whan Lee",IEEE Transactions on Cybernetics,2021-11-08,109,2,143.186,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",deep learning,Brain–computer interfaces (BCIs) have been widely employed to identify and estimate a user’s intention to trigger a robotic device by decoding motor imagery (MI) from an electroencephalogram (EEG).,high citation signal (109); recognized venue,PDF link not available from metadata,https://doi.org/10.1109/TCYB.2021.3122969,https://www.semanticscholar.org/paper/2429f35c5757f363e9a8628670865f3f7ab0e1a1,,10.1109/TCYB.2021.3122969,,34748509,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,362,2023,Generative adversarial networks in EEG analysis: an overview,"Ahmed G. Habashi, Ahmed M. Azab, Seif Eldawlatly, G. Aly",Journal of NeuroEngineering and Rehabilitation,2023-04-11,109,1,122.887,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",BCI method,Electroencephalogram (EEG) signals have been utilized in a variety of medical as well as engineering applications.,high citation signal (109); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1186/s12984-023-01169-w,https://www.semanticscholar.org/paper/35c1e4eb80d0dbead7c487ef6fa8fd9da9e7f797,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/s12984-023-01169-w,10.1186/s12984-023-01169-w,,37038142,Computer Science; Medicine
Motor Imagery and Movement Decoding,363,2012,"Automatic single-trial discrimination of mental arithmetic, mental singing and the no-control state from prefrontal activity: toward a three-state NIRS-BCI","S. Power, A. Kushki, T. Chau",BMC Research Notes,2012-03-13,108,8,153.76,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",invasive; communication,"Near-infrared spectroscopy (NIRS) is an optical imaging technology that has recently been investigated for use in a safe, non-invasive brain-computer interface (BCI) for individuals with severe motor impairments.",high citation signal (108); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1186/1756-0500-5-141,https://www.semanticscholar.org/paper/0db2cc2e3bb7f4680b3eb88c2931f9513aee859d,https://bmcresnotes.biomedcentral.com/counter/pdf/10.1186/1756-0500-5-141,10.1186/1756-0500-5-141,,22414111,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,364,2015,Adaptive learning with covariate shift-detection for motor imagery-based brain–computer interface,"H. Raza, H. Cecotti, Yuhua Li, G. Prasad","Soft Computing - A Fusion of Foundations, Methodologies and Applications",2015-11-28,108,8,153.76,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",dataset/benchmark; closed-loop,A common assumption in traditional supervised learning is the similar probability distribution of data between the training phase and the testing/operating phase.,high citation signal (108); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1007/s00500-015-1937-5,https://www.semanticscholar.org/paper/2f10de27c478d77a07b41929c9a25e4f81c7cba9,https://link.springer.com/content/pdf/10.1007%2Fs00500-015-1937-5.pdf,10.1007/s00500-015-1937-5,,,Computer Science
Motor Imagery and Movement Decoding,365,2019,Feature selection using regularized neighbourhood component analysis to enhance the classification performance of motor imagery signals,"N. Malan, Shiru Sharma",Comput. Biol. Medicine,2019-04-01,108,5,147.961,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",dataset/benchmark,"In motor imagery (MI) based brain-computer interface (BCI) signal analysis, mu and beta rhythms of electroencephalograms (EEGs) are widely investigated due to their high temporal resolution and capability to define the different movement-related mental tasks separately.",high citation signal (108),PDF link not available from metadata,https://doi.org/10.1016/j.compbiomed.2019.02.009,https://www.semanticscholar.org/paper/e337a5619be2298beaff674ee06568f099276c12,,10.1016/j.compbiomed.2019.02.009,,30802693,Computer Science; Medicine
Motor Imagery and Movement Decoding,366,2021,"Implantable brain machine interfaces: first-in-human studies, technology challenges and trends.","Adrien Rapeaux, T. Constandinou",Current Opinion in Biotechnology,2021-11-05,108,3,137.663,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",invasive; communication,"Implantable brain machine interfaces (BMIs) are now on a trajectory to go mainstream, wherein what was once considered last resort will progressively become elective at earlier stages in disease treatment.",high citation signal (108); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1016/j.copbio.2021.10.001,https://www.semanticscholar.org/paper/83debab45613d9cf3b060829fdcb001d8ed20e84,https://doi.org/10.1016/j.copbio.2021.10.001,10.1016/j.copbio.2021.10.001,,34749248,Engineering; Medicine
Motor Imagery and Movement Decoding,367,2019,A new multi-objective wrapper method for feature selection - Accuracy and stability analysis for BCI,"Jesús González, J. Ortega, M. Damas, P. Martín-Smith, J. Q. Gan",Neurocomputing,2019-03-01,108,2,133.985,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",dataset/benchmark,"Abstract Feature selection is an important step in building classifiers for high-dimensional data problems, such as EEG classification for BCI applications.",high citation signal (108); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1016/J.NEUCOM.2019.01.017,https://www.semanticscholar.org/paper/ecd2fa15e3c66d0a417b4b476ef6ac70ced70aa3,http://repository.essex.ac.uk/26867/9/paper.pdf,10.1016/J.NEUCOM.2019.01.017,,,Computer Science; Engineering
Motor Imagery and Movement Decoding,368,2022,FBMSNet: A Filter-Bank Multi-Scale Convolutional Neural Network for EEG-Based Motor Imagery Decoding,"Ke Liu, Mingzhao Yang, Zhuliang Yu, Guoyin Wang, Wei Wu",IEEE Transactions on Biomedical Engineering,2022-07-22,107,14,179.252,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",dataset/benchmark; clinical/rehab; deep learning,Object: Motor imagery (MI) is a mental process widely utilized as the experimental paradigm for brain-computer interfaces (BCIs) across a broad range of basic science and clinical studies.,high citation signal (107); influential citation signal (14); recognized venue,PDF link not available from metadata,https://doi.org/10.1109/TBME.2022.3193277,https://www.semanticscholar.org/paper/9531741e965fa1dd9648816da7ac96f076d4128b,,10.1109/TBME.2022.3193277,,35867371,Computer Science; Medicine
Motor Imagery and Movement Decoding,369,2012,An online brain-computer interface based on shifting attention to concurrent streams of auditory stimuli,"N. Hill, Bernhard Schölkopf",Journal of Neural Engineering,2012-02-15,107,12,165.176,"The field is moving from subject-specific pipelines toward cross-subject, calibration-light, and transfer-learning decoders for EEG motor imagery. Deep CNN, temporal convolution, graph, attention, and large EEG representation models are increasingly used to improve robustness under noisy and low-data conditions. Application work is expanding from binary hand imagery toward gait, lower-limb control, soft robotics, virtual feedback, and rehabilitation-oriented closed-loop use.",communication,"We report on the development and online testing of an electroencephalogram-based brain–computer interface (BCI) that aims to be usable by completely paralysed users—for whom visual or motor-system-based BCIs may not be suitable, and among whom reports of successful BCI use have so far been very rare.",high citation signal (107); influential citation signal (12); recognized venue,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1088/1741-2560/9/2/026011,https://www.semanticscholar.org/paper/0808cc9e3121f2119c10d6875405d3e13830522f,https://europepmc.org/articles/pmc3366495?pdf=render,10.1088/1741-2560/9/2/026011,,22333135,Computer Science; Engineering; Medicine; Physics; Psychology
